text	recoder	tare	rewardrepair	selfapr	gamma	allfailure
"@PreAuthorize(""(hasPermission(#post.topic.branch.id, 'BRANCH', 'BranchPermission.DELETE_OWN_POSTS') and "" + ""#post.userCreated.username == principal.username)"") //draft can be deleted only by author @Override public void deleteDraft(Post post) { if (!PostState.DRAFT.equals(post.getState())) { new IllegalArgumentException(""Required DRAFT but got "" + String.valueOf(post.getState())); } Topic topic = post.getTopic(); topic.removePost(post); topicDao.saveOrUpdate(topic); securityService.deleteFromAcl(post);  logger.debug(""Deleted draft id={}"", post.getId()); } "	0	1	0	0	1	0
"private void writeRegisters(String deviceAddress, WriteRegisterCommand... commands) { if (commands == null || commands.length == 0) { logger.warn(""No commands to write to the CUL""); return; } if (commands.length > 8) { logger.error(""We can only send 8 commands at once to the CUL. Discarding all commands""); return; } StringBuffer sendBuffer = new StringBuffer(8); sendBuffer.append('F'); sendBuffer.append(deviceAddress); for (WriteRegisterCommand command : commands) { sendBuffer.append(command.register); sendBuffer.append(command.value); } try { culHandlerLifecycle.getCul().send(sendBuffer.toString()); } catch (CULCommunicationException e) { logger.error(""Error while writing multiple write register commands to the CUL"", e); } } "	1	1	1	1	1	0
private Map<String, ArrayList<String>> assignPassengersToDrivers(Map<User, Map<User, Double>> distanceMaps) { // Iterate over entries of distanceMaps Map<String, ArrayList<String>> driverPassengersMap = new HashMap<>(); for (Map.Entry<User, Map<User, Double>> entry : distanceMaps.entrySet()) { User currentPassenger = entry.getKey(); Map<User, Double> driverDistanceMatrix = entry.getValue(); User optimalDriver = null; Double smallestDistance = Double.MAX_VALUE; // Find the closest driver for currentPassenger for (Map.Entry<User, Double> driverDistanceEntry : driverDistanceMatrix.entrySet()) { User currentDriver = driverDistanceEntry.getKey(); Double currentDistance = driverDistanceEntry.getValue(); if (currentDistance < smallestDistance && currentDriver.getNumFreeSeats() > 0) { smallestDistance = currentDistance; optimalDriver = currentDriver; } } if (optimalDriver != null) { optimalDriver.addPassenger(currentPassenger); } } return driverPassengersMap; } 	0	1	0	0	1	0
"public ReadWriterFactory setCreateIndex(final boolean createIndex) { logger.debug(""Create index for FASTQ writers is ignored""); this.samFactory.setCreateIndex(createIndex); return this; } "	0	0	0	0	1	0
"public ReadWriterFactory setReferenceFile(final File referenceFile) { logger.debug(""Reference file for FASTQ writers is ignored""); this.referenceFile = referenceFile; return this; } "	0	0	0	0	1	0
public void endWindow() { int count = cache.size() - maxSize;  if (count > 0) { Set<K> expiredKeys = priorityQueue.removeLRU(count);  for (K expiredKey: expiredKeys) { cache.remove(expiredKey); } }  changedKeys = Sets.newHashSet(); removedEntries = Maps.newHashMap(); } 	0	0	0	0	1	0
"public void evaluateAllFitness(PrintWriter stats, ObjectOutputStream champions) throws java.io.IOException, InterruptedException { // Indices where each thread should start int[] starts = new int[NUMBER_OF_THREADS]; // Indices where each thread should stop int[] stops = new int[NUMBER_OF_THREADS]; for (int i = 0; i < starts.length; i++) { starts[i] = individuals.length * i / NUMBER_OF_THREADS; stops[i] = individuals.length * (i + 1) / NUMBER_OF_THREADS; } int step = individuals.length / NUMBER_OF_THREADS; CountDownLatch latch = new CountDownLatch(NUMBER_OF_THREADS); Evaluator[] evaluators = new Evaluator[NUMBER_OF_THREADS]; for (int i = 0; i < evaluators.length; i++) { evaluators[i] = new Evaluator(step * i, step * (i + 1), individuals, latch); } ExecutorService executor = Executors.newFixedThreadPool(NUMBER_OF_THREADS); long before = System.nanoTime(); for (int i = 0; i < NUMBER_OF_THREADS; i++) { executor.execute(evaluators[i]); } executor.shutdown(); latch.await(); long after = System.nanoTime(); System.out.println(""Time taken: "" + ((after - before) / 1000000000.0) + "" seconds""); Genotype champion = findChampion(); stats.println(champion.getFitness() + ""\t"" + meanFitness()); stats.flush(); champions.writeObject(champion.getWords()); } "	0	1	0	0	1	0
"private DataSource processTableReference(SQLParser.Table_referenceContext tableReferenceContext) { if (tableReferenceContext.table_atom() != null) { return processTableAtom(tableReferenceContext.table_atom()); } else if (tableReferenceContext.table_join() != null) { return processTableJoin(tableReferenceContext.table_join()); } throw new ParseException(String.format(""Unsupported table reference type: \'%s\'"", tableReferenceContext.getText())); } "	0	0	0	0	1	0
"private void searchPdfTest(final String filename, final String[] searchStrings) throws Exception {  String testTag = ""search"";  openFile(filename);  // Get the page view for the opened document which we can use for pinch actions UiObject pageView = getUiObjectByResourceId(""com.adobe.reader:id/pageView"", ""android.widget.RelativeLayout""); for (int i = 0; i < searchStrings.length; i++) { String runName = (i == 0) ? ""first_word"" : ""second_word""; timingResults.put(String.format(testTag + ""_"" + runName), searchTest(searchStrings[i])); }  exitDocument(); } "	0	0	0	0	1	0
public static XmoduleDefinition findParentModule(Xnode from) { Xnode moduleDef = from.find(Xcode.FMODULEDEFINITION); if(moduleDef == null){ return null; } return new XmoduleDefinition(moduleDef.getElement()); } 	0	0	0	0	1	0
"@Override protected void onCreate(Bundle savedInstanceState) { super.onCreate(savedInstanceState); setupActionBar(true, getString(R.string.you)); setContentView(R.layout.edit_user_layout); ButterKnife.bind(this);  ActionBar actionBar = getSupportActionBar(); if (actionBar != null) { actionBar.setHomeAsUpIndicator(DrawableUtils.getActionBarIcon(this, R.drawable.ic_close_black_24dp)); }  if (presenter == null || savedInstanceState == null) { presenter = new EditUserPresenter(this); } else { presenter = new EditUserPresenter(savedInstanceState); } presenter.onTakeView(this);  description.setOnFocusChangeListener(new View.OnFocusChangeListener() { @Override public void onFocusChange(View v, boolean hasFocus) { if (hasFocus) { descriptionInputLayout.setHint(getString(R.string.about_you)); ((EditText)v).setHint(getString(R.string.add_description)); } else { descriptionInputLayout.setHint(getString(R.string.add_description)); ((EditText)v).setHint(""""); } } });  } "	0	1	0	0	1	0
@Override public Collection<MetaClass> getAllSuperTypesAndInterfaces() { final Collection<MetaClass> supersAndIfaces = new ArrayList<MetaClass>(); addSuperTypesAndInterfaces(this, supersAndIfaces);  return supersAndIfaces; } 	0	0	0	0	1	0
private char nextChar(int i) throws EndOfPathException{ SuffixNode node = selectNode(); if(diff(node) >= active.activeLength){ return input[active.activeNode.child[input[active.activeEdge]].start + active.activeLength]; } if(diff(node) + 1 == active.activeLength ){ if(node.child[input[i]] != null){ return input[i]; } } else{ active.activeNode = node; active.activeLength = active.activeLength - diff(node) -1; active.activeEdge = active.activeEdge + diff(node)  +1; return input[active.activeNode.child[input[active.activeEdge]].start + active.activeLength]; }  throw new EndOfPathException(); } 	0	1	0	0	1	0
"public static void loadCreaturePresets(Map<Id, ItemPreset> itemPresetMap) { Map<Id, CreaturePreset> creaturePresetMap = new HashMap<Id, CreaturePreset>(); JsonObject object = JsonObjectFactory.makeJsonObject(""creatures.json""); for (JsonValue value : object.get(""creatures"").asArray()) { JsonObject presetObject = value.asObject(); CreaturePreset preset = new CreaturePreset(); preset.setId(new Id(presetObject.get(""id"").asString())); preset.setType(presetObject.get(""type"").asString()); preset.setName(NameFactory.fromJsonObject(presetObject.get(""name"").asObject())); if (presetObject.get(""tags"") != null) { preset.setTagSet(TagSet.fromJsonArray(presetObject.get(""tags"").asArray(), Creature.Tag.class)); } else { preset.setTagSet(TagSet.makeEmptyTagSet(Creature.Tag.class)); } preset.setInventoryItemLimit(presetObject.getInt(""inventoryItemLimit"", 0)); preset.setInventoryWeightLimit(presetObject.getDouble(""inventoryItemLimit"", 0.0)); preset.setItems(getInventory(presetObject)); setLuminosityIfPresent(preset, presetObject); setVisibility(preset, presetObject); preset.setWeight(Weight.newInstance(presetObject.get(""weight"").asDouble())); preset.setHealth(presetObject.get(""health"").asInt()); preset.setAttack(presetObject.get(""attack"").asInt()); setWeaponIfPreset(preset, presetObject); preset.setAttackAlgorithmId(AttackAlgorithmId.valueOf(presetObject.get(""attackAlgorithmID"").asString())); creaturePresetMap.put(preset.getId(), preset); if (preset.hasTag(Creature.Tag.CORPSE)) { ItemPreset corpse = CorpsePresetFactory.makeCorpsePreset(preset); itemPresetMap.put(corpse.getId(), corpse); } } setCreaturePresetMap(Collections.unmodifiableMap(creaturePresetMap)); DungeonLogger.info(""Loaded "" + creaturePresetMap.size() + "" creature presets.""); } "	0	1	0	0	1	0
"private List<ComfoxMessage> getprojectRelatedMessages(GraphTraversalSource traversal, Vertex messageVertex) { try { Vertex project = traversal.V(messageVertex).both().hasLabel(""project"").next(); Long count = traversal.V(project).both().count().next(); return asList(new ComfoxMessage( String.format(""#Jigsaw says: #%s has %s people"", project.property(""name"").value().toString(), count), null, ""comfox"", null, null, null)); } catch (Exception e) { return asList(); } } "	0	0	0	0	1	0
"@Override public boolean onCommand(CommandSender sender, Command command, String label, String[] args) { if (command.getName().equalsIgnoreCase(""eshop"")) { if (args.length > 0 && args[0].equalsIgnoreCase(""reload"")) { eshop.handleReload(sender); } else { eshop.handleCommand(sender, command); } }  return true; } "	0	0	0	0	1	0
public void moveRight() { if (adjustmentIsLegal(0, 1)) { falling.setX(falling.getX() + 1); redrawBoard(); } } 	0	0	0	0	1	0
private void checkForFullRows() { int scoreAdjustment = 0; for (int row = 0; row < rows; row++) { int nonEmpty = 0; for (int col = 0; col < columns; col++) { if (area[row][col].getChar() != Block.EMPTY) { nonEmpty++; } } if (nonEmpty == columns) { scoreAdjustment++; dropAllRowsAbove(row); } } scoreKeeper.increaseScore(scoreAdjustment); } 	0	0	0	0	1	0
public static void deleteList(Realm realm, RBookList list) { if (list != null) { realm.executeTransaction(tRealm -> { // First, delete the list items (unless this is a smart list). if (!list.isSmartList()) list.getListItems().clear(); // Then, delete the book list. list.removeFromRealm(); }); } } 	0	0	0	0	1	0
"public static CallbackQuery createCallbackQuery(JSONObject jsonObject, TelegramBot telegramBot) {  CallbackQuery callbackQuery = null; if (jsonObject != null) {  if (!jsonObject.isNull(""message"")) {  if(!jsonObject.isNull(""game_short_name"")) {  callbackQuery = GameMessageMessageCallbackQueryImpl.createGameCallbackQuery(jsonObject, telegramBot); } else {  callbackQuery = MessageCallbackQueryImpl.createCallbackQuery(jsonObject, telegramBot); } } else if (!jsonObject.isNull(""inline_message_id"")) {  if(!jsonObject.isNull(""game_short_name"")) {  callbackQuery = GameInlineCallbackQueryImpl.createGameInlineCallbackQuery(jsonObject, telegramBot); } else {  callbackQuery = InlineCallbackQueryImpl.createInlineCallbackQuery(jsonObject, telegramBot); } } else {  callbackQuery = new CallbackQueryImpl(jsonObject, telegramBot);  System.err.println(""The Telegram Bot API didn't return a Message or Inline Message ID for the CallbackQuery, send @zackpollard the following output or create a github issue.""); System.err.println(callbackQuery.asJson().toString(4)); } }  return callbackQuery; } "	0	0	0	0	1	0
"@Override public List<Application> getApplications(String subscriber, String groupId) throws APIManagementException { List<Application> applicationList = null; try { applicationList = getApplicationDAO().getApplications(subscriber); } catch (APIMgtDAOException e) { String errorMsg = ""Error occurred while fetching applications for the given subscriber - "" + subscriber + "" with groupId - "" + groupId; log.error(errorMsg); throw new APIMgtDAOException(errorMsg, e, ExceptionCodes.APIMGT_DAO_EXCEPTION); } return applicationList; } "	1	1	1	1	1	0
public void insertActiveUser(LoginEvent loginEvent) { User user = new User(); user.setName(loginEvent.getSessionConnectEvent().getUser().getName()); usersSessions.add(user); } 	0	1	0	0	1	0
boolean contains(Integer id) { return bookmarks.contains(id); } 	0	0	0	0	1	0
private void updateStatusUi() { // Turn off the audio unless it is connected. if (mSensorPresenter != null) { if (!mHasError && mSourceStatus == SensorStatusListener.STATUS_CONNECTED && mCurrentSource != null) { updateAudio(mLayout.audioEnabled, getSonificationType( mParentFragment.getActivity())); } else { updateAudio(false, ScalarDisplayOptions.DEFAULT_SONIFICATION_TYPE); } } if (mCardViewHolder == null) { return; } updateCardMenu(); if (!mHasError && mSourceStatus == SensorStatusListener.STATUS_CONNECTED) { mCardViewHolder.flipButton.setVisibility(View.VISIBLE); mCardViewHolder.statusViewGroup.setVisibility(View.GONE); return; } mCardViewHolder.flipButton.setVisibility(View.GONE); mCardViewHolder.statusViewGroup.setVisibility(View.VISIBLE); mCardViewHolder.statusRetryButton.setVisibility(View.GONE); if (mHasError) { // An error if (mRetryClickListener != null) { mCardViewHolder.statusRetryButton.setVisibility(View.VISIBLE); mCardViewHolder.statusRetryButton.setOnClickListener(mRetryClickListener); } mCardViewHolder.statusMessage.setText( mCardViewHolder.getContext().getText(R.string.sensor_card_error_text)); mCardViewHolder.statusProgressBar.setVisibility(View.GONE); } else if (mSourceStatus != SensorStatusListener.STATUS_CONNECTING) { // Unknown status. mCardViewHolder.statusMessage.setText( mCardViewHolder.getContext().getText(R.string.sensor_card_error_text)); mCardViewHolder.statusProgressBar.setVisibility(View.GONE); } else { // Show a progress bar inside the card while connecting. mCardViewHolder.statusMessage.setText( mCardViewHolder.getContext().getText(R.string.sensor_card_loading_text)); mCardViewHolder.statusProgressBar.setVisibility(View.VISIBLE); } } 	0	0	0	0	1	0
"protected synchronized void setState(final CellState state) { if (this.myState == null && state == null) throw new IllegalStateException(""Can't remain in null state""); if (this.myState != null && state != null && this.myState.equals(state)) throw new IllegalStateException(""Can't remain in same state"");  LOG.trace(""Transitioning to: "" + state); this.myState = state; this.myStates.onNext(state); } "	0	0	0	0	1	0
"public String getPvpMessage(String killer) { String msg = getMessage(""PVP""); return msg.replace(""%a"", killer); } "	0	0	0	0	1	0
public void setDongyEnble() { if (fullnameflag == true && emailflag == true && passwordflag == true && addressflag == true && selectedImageflag == true && checkAccountType == true) { dangkyok.setEnabled(true); dangkyok.setBackgroundColor(getResources().getColor(R.color.mauxanh));  } else { dangkyok.setEnabled(false); dangkyok.setBackgroundColor(getResources().getColor(R.color.mauxam)); dangkyok.setTextColor(getResources().getColor(R.color.actionbar_text)); }  } 	0	0	0	0	1	0
"@Test public void testApplicationBoxDeploymentRequestSerializerNotLatest() throws ParseException, IOException {  final ElasticBoxCloud elasticBoxCloud = Mockito.mock(ElasticBoxCloud.class);  final InstanceExpirationSchedule expiration = new InstanceExpirationSchedule(""terminate"", null, ""01/25/2016"", ""16:00"") { };  final ApplicationBoxDeploymentContext applicationBoxDeploymentContext = new ApplicationBoxDeploymentContext.Builder() .box(""FAKE_BOX_ID"") .boxVersion(""NOT_LATEST"") .expirationTime(expiration.getUtcDateTime()) .expirationOperation(expiration.getOperation()) .requirements(new String[]{""FAKE_CLAIM""}) .tags(new HashSet<String>() {{ add(""FAKE_TAG""); }}) .name(""FAKE_NAME"") .owner(""FAKE_OWNER"") .waitForDone(true) .cloud(elasticBoxCloud) .build();  final JSONObject request = new ApplicationBoxDeploymentSerializer().createRequest(applicationBoxDeploymentContext);  assertTrue(""policyBox id was not set"", request.getJSONObject(""lease"").getString(""expire"").equals(expiration.getUtcDateTime())); assertTrue(""policyBox id was not set"", request.getJSONObject(""lease"").getString(""operation"").equals(""terminate"")); assertTrue(""policyBox id was not set"", request.getJSONObject(""box"").getString(""id"").equals(""FAKE_BOX_ID"")); assertTrue(""policyBox id was not set"", request.getJSONArray(""instance_tags"").get(0).equals(""FAKE_TAG"")); assertTrue(""policyBox id was not set"", request.getJSONArray(""requirements"").get(0).equals(""FAKE_CLAIM"")); assertTrue(""policyBox id was not set"", request.getString(""schema"").equals(""http://elasticbox.net/schemas/deploy/application"")); assertTrue(""policyBox id was not set"", request.getString(""owner"").equals(""FAKE_OWNER"")); assertTrue(""policyBox id was not set"", request.getString(""name"").equals(""FAKE_NAME"")); } "	0	0	0	0	1	0
public void end() { this.mSoundPool.release(); this.mPathStreamIDsMap.clear(); this.mPathSoundIDMap.clear(); this.mEffecToPlayWhenLoadedArray.clear();  this.mLeftVolume = 0.5f; this.mRightVolume = 0.5f;  this.initData(); } 	0	0	0	0	1	0
private void map(ClassMap classMap, Object srcObj, Object destObj, boolean bypassSuperMappings, List<String> mappedParentFields, String mapId) { srcObj = MappingUtils.deProxy(srcObj);  // 1596766 - Recursive object mapping issue. Prevent recursive mapping // infinite loop. Keep a record of mapped fields // by storing the id of the sourceObj and the destObj to be mapped. This can // be referred to later to avoid recursive mapping loops mappedFields.put(srcObj, destObj);  // If class map hasn't already been determined, find the appropriate one for // the src/dest object combination if (classMap == null) { classMap = getClassMap(srcObj.getClass(), destObj.getClass(), mapId); }  Class<?> srcClass = srcObj.getClass(); Class<?> destClass = destObj.getClass();  // Check to see if custom converter has been specified for this mapping // combination. If so, just use it. Class<?> converterClass = MappingUtils.findCustomConverter(converterByDestTypeCache, classMap.getCustomConverters(), srcClass, destClass); if (converterClass != null) { mapUsingCustomConverter(converterClass, srcClass, srcObj, destClass, destObj, null, true); return; }  // Now check for super class mappings.  Process super class mappings first. if (!bypassSuperMappings) { Collection<ClassMap> superMappings = new ArrayList<ClassMap>();  Collection<ClassMap> superClasses = checkForSuperTypeMapping(srcClass, destClass); //List<ClassMap> interfaceMappings = classMappings.findInterfaceMappings(srcClass, destClass);  superMappings.addAll(superClasses); //superMappings.addAll(interfaceMappings); if (!superMappings.isEmpty()) { processSuperTypeMapping(superMappings, srcObj, destObj, mappedParentFields, mapId); } }  // Perform mappings for each field. Iterate through Fields Maps for this class mapping for (FieldMap fieldMapping : classMap.getFieldMaps()) { //Bypass field if it has already been mapped as part of super class mappings. String key = MappingUtils.getMappedParentFieldKey(destObj, fieldMapping); if (mappedParentFields != null && mappedParentFields.contains(key)) { continue; } mapField(fieldMapping, srcObj, destObj); } } 	1	0	1	1	1	0
"public static void updateLocation(Location l) { // Note this should be a background operation -- alex GetCallback<ParseObject> p = new GetCallback<ParseObject>() { @Override public void done(ParseObject arg0, ParseException arg1) { Map<String, Object> m = new HashMap<String,Object>(); m.put(""coordinates"", new ParseGeoPoint(l.getCoordinates().getLat(),l.getCoordinates().getLng())); if(arg1!=null){ DatabaseManager.update(""Location"",arg0.getObjectId(),m); for(Review r :l.getReviews()){ ReviewManager.updateReview(r); } } else{ saveLocation(l); } //arg1.printStackTrace(); } }; checkLocationInDB(l,p);  } "	0	1	1	1	1	0
"private void buildTags() { final StringBuilder sbTags = new StringBuilder(); for (Tag tag : picture.getListTags()) { sbTags.append(tag.getValue()); sbTags.append("", ""); } if (sbTags.length() > 2) { sbTags.setLength(sbTags.length() - 2); } tagsTxt.setText(sbTags.toString());  if (picture.getUser().getLogin().equals(app.currentUser().getLogin())) { tagsEditTxt.setText(sbTags.toString()); tagsEditBtn.setOnMouseClicked(new EventHandler<MouseEvent>() { @Override public void handle(final MouseEvent mouseEvent) { editTags(mouseEvent); } }); } } "	0	0	0	0	1	0
private boolean writePropertiesRealms(boolean started, ModelNode subsystem, XMLExtendedStreamWriter writer) throws XMLStreamException { if (subsystem.hasDefined(PROPERTIES_REALM)) { startRealms(started, writer);  List<Property> realms = subsystem.require(KEYSTORE_REALM).asPropertyList(); for (Property current : realms) { writer.writeStartElement(PROPERTIES_REALM); writer.writeAttribute(NAME, current.getName()); ModelNode model = current.getValue(); PropertiesRealmDefinition.PLAIN_TEXT.marshallAsAttribute(model, writer); writeFile(USERS_PROPERTIES, model.get(USERS_PROPERTIES), writer); writeFile(GROUPS_PROPERTIES, model.get(GROUPS_PROPERTIES), writer); writer.writeEndElement(); }  return true; } return false; } 	1	0	1	0	1	0
